time_idx,power_0,wind_speed_1,power_1,wind_speed_2,power_2,wind_speed_3,power_3,wind_speed_4,power_4,wind_speed_5,power_5,wind_speed_6,power_6,wind_speed_7,power_7,wind_speed_8,power_8,wind_speed_9,power_9,wind_speed_10,power_10,wind_speed_11,power_11,wind_speed_12,power_12,wind_speed_13,power_13,wind_speed_14,power_14,wind_speed_15,power_15,wind_speed_16,power_16,wind_speed_17,power_17,wind_speed_18,power_18,wind_speed_19,power_19,wind_speed_20,power_20,wind_speed_21,power_21,wind_speed_22,power_22,wind_speed_23,power_23,wind_speed_24,power_24,wind_speed_25,power_25,wind_speed_26,power_26,wind_speed_27,power_27,wind_speed_28,power_28,wp_true
10,38.20000076,3.764102459,108.3000031,4.146153927,182.3000031,4.146153927,137.0,3.859615564,125.0,3.859615564,143.9000092,3.66858983,107.9000015,3.764102459,124.5999985,3.66858983,118.7000046,3.095512867,63.0,2.0,-3.0,3.095512867,77.59999847,3.191025734,70.90000153,3.477564096,78.0,3.382051468,54.10000229,3.095512867,53.10000229,2.900000095,31.10000038,1.399999976,-3.0,1.300000072,-4.800000191,2.600000143,48.60000229,4.337179661,206.0,5.587461948,369.7000122,5.684000015,296.8000183,5.490871906,400.3000183,5.97330761,433.7000122,3.382051468,-4.200000286,2.5,-4.099999905,2.200000048,-3.700000048,1.600000024,-4.400000095,11.11
11,-15.80000019,3.66858983,101.3000031,4.337179661,220.1999969,4.528204918,177.0,4.05064106,156.3000031,3.764102459,154.1000061,3.955128193,151.3000031,4.241666794,191.0,3.955128193,161.4000092,3.286538363,99.70000458,1.0,-2.900000095,4.05064106,163.6000061,3.286538363,84.30000305,3.764102459,106.5999985,3.191025734,70.0,3.286538363,84.5,3.764102459,113.7000046,0.900000036,-3.299999952,2.600000143,-4.400000095,3.764102459,135.1000061,4.814743519,267.3999939,5.394230843,367.3000183,5.684000015,365.0,5.104000092,433.8999939,5.104000092,362.8999939,1.200000048,-5.900000095,1.300000072,-4.300000191,3.0,-4.099999905,2.900000095,-7.300000191,9.31
12,-5.0,3.573076963,86.20000458,4.623718262,244.3000031,4.528204918,184.4000092,4.146153927,169.9000092,3.859615564,167.9000092,4.146153927,166.5,4.528204918,192.1999969,4.05064106,170.6999969,2.5,48.79999924,2.299999952,-4.099999905,3.955128193,152.3000031,3.191025734,68.5,3.955128193,121.5,3.955128193,119.2000046,3.859615564,125.0,3.573076963,79.30000305,0.699999988,-3.600000143,1.300000072,-4.200000286,3.0,10.19999981,3.66858983,131.0,4.719231129,279.3999939,5.394230843,333.3000183,5.104000092,354.6000061,5.394230843,384.8000183,3.66858983,-4.599999905,3.095512867,74.90000153,3.66858983,93.09999847,1.700000048,-4.5,8.3
13,13.80000019,3.955128193,141.1000061,4.432692528,210.3000031,4.337179661,140.1000061,3.955128193,131.1000061,4.146153927,168.9000092,4.146153927,145.0,3.955128193,153.5,3.955128193,160.6000061,3.095512867,58.70000076,2.400000095,-3.0,3.955128193,126.8000031,3.286538363,79.20000458,3.764102459,101.9000015,3.66858983,94.40000153,3.573076963,109.2000046,3.095512867,68.09999847,1.0,-4.800000191,1.300000072,-4.5,3.573076963,72.90000153,3.191025734,109.0,5.200795174,361.6000061,5.297538757,331.0,5.394230843,400.3999939,5.97330761,482.2000122,2.299999952,-4.900000095,2.900000095,60.79999924,2.799999952,64.5,1.800000072,-3.100000143,7.92
14,-6.400000095,3.859615564,127.0999985,4.528204918,223.0,3.955128193,157.9000092,4.05064106,179.1999969,4.910256386,175.6000061,3.764102459,133.4000092,3.477564096,143.0,3.955128193,177.1000061,3.095512867,66.59999847,3.286538363,-3.0,2.799999952,69.20000458,3.0,40.20000076,3.66858983,93.40000153,3.764102459,134.3000031,3.859615564,69.09999847,3.66858983,159.9000092,0.699999988,-3.799999952,3.191025734,-6.099999905,3.955128193,116.7000046,4.814743519,285.7000122,4.814743519,339.5,5.007153988,360.8999939,4.910256386,375.0,5.200795174,394.1000061,0.699999988,-4.300000191,2.400000095,0.900000036,3.382051468,-6.300000191,2.0,-4.800000191,5.01
15,103.2000046,4.146153927,172.4000092,4.241666794,184.4000092,3.955128193,149.8000031,4.241666794,249.4000092,4.814743519,312.3000183,3.66858983,104.4000015,3.955128193,138.1999969,4.814743519,255.1000061,3.859615564,134.8000031,4.146153927,192.1999969,2.299999952,57.79999924,4.146153927,154.8000031,4.337179661,183.6000061,4.432692528,232.6000061,2.5,52.5,5.104000092,358.0,3.859615564,-8.0,2.900000095,84.80000305,4.432692528,175.5,5.394230843,401.3000183,5.297538757,369.0,5.684000015,381.6000061,5.587461948,481.3999939,6.165923119,471.6000061,2.5,-4.0,3.859615564,207.3000031,5.394230843,380.0,2.700000048,-3.5,3.51
16,66.80000305,4.05064106,139.9000092,4.814743519,299.0,4.814743519,244.3000031,4.814743519,265.8000183,4.910256386,337.1000061,4.528204918,188.0,4.528204918,187.9000092,4.910256386,252.9000092,4.337179661,191.6999969,4.814743519,264.0,4.337179661,166.6000061,4.432692528,193.9000092,4.910256386,244.8000031,4.719231129,234.0,2.600000143,66.70000458,5.297538757,388.2000122,3.66858983,-5.700000286,2.400000095,-9.699999809,4.146153927,190.3000031,5.200795174,372.1000061,5.490871906,378.6000061,5.684000015,420.8999939,5.297538757,470.7000122,5.684000015,501.2000122,2.799999952,71.5,3.955128193,177.1000061,3.382051468,129.6000061,3.573076963,96.09999847,3.66
17,196.1000061,4.814743519,220.9000092,4.814743519,330.5,4.623718262,255.3000031,4.432692528,266.8999939,4.814743519,336.0,4.623718262,216.4000092,4.910256386,240.6000061,5.297538757,325.5,4.241666794,184.0,4.432692528,262.6000061,2.5,80.70000458,4.241666794,165.5,4.910256386,243.1999969,4.05064106,150.3000031,2.5,61.79999924,4.623718262,246.1999969,3.573076963,101.4000015,3.66858983,104.9000015,4.05064106,155.8000031,5.200795174,398.7000122,4.528204918,243.6000061,4.910256386,268.6000061,4.910256386,321.1000061,4.814743519,310.8999939,0.699999988,-3.200000048,2.700000048,23.80000114,3.477564096,94.59999847,2.600000143,-6.099999905,3.85
18,178.1000061,3.859615564,146.6999969,4.814743519,312.5,4.528204918,240.9000092,4.337179661,189.6999969,4.910256386,300.8000183,3.859615564,136.8000031,3.573076963,114.0,4.528204918,233.9000092,3.955128193,184.0,4.241666794,224.9000092,2.799999952,8.699999809,4.05064106,161.1000061,4.719231129,210.1999969,3.859615564,134.5,4.241666794,206.4000092,4.337179661,223.4000092,3.191025734,25.70000076,4.05064106,145.3000031,3.955128193,135.8000031,4.910256386,362.1000061,4.146153927,274.5,5.104000092,350.7000122,4.910256386,359.5,5.104000092,317.2000122,3.859615564,-3.200000048,3.764102459,161.0,4.814743519,320.3000183,3.0,123.0999985,3.55
19,102.9000015,4.05064106,174.1000061,5.007153988,330.8999939,4.719231129,214.4000092,4.05064106,203.8000031,4.432692528,236.8000031,3.955128193,170.6000061,4.432692528,219.0,4.719231129,244.5,3.955128193,147.5,4.241666794,223.6000061,2.900000095,96.70000458,3.477564096,148.9000092,4.719231129,249.4000092,3.955128193,117.2000046,3.955128193,164.4000092,4.05064106,192.5,1.899999976,-18.20000076,3.477564096,84.90000153,3.477564096,78.30000305,4.814743519,301.2000122,4.241666794,229.1000061,5.007153988,284.1000061,4.623718262,284.3999939,4.337179661,220.4000092,2.700000048,28.5,3.66858983,147.6000061,4.814743519,330.3000183,2.900000095,145.5,4.13
